"","V1","V2","V3","p"
"1",1,"https://item.taobao.com/item.htm?spm=a230r.1.14.339.kdal96&id=538915520357&ns=1&abbucket=4",NA,0
"2",2,"https://item.taobao.com/item.htm?spm=a230r.1.14.339.kdal96&id=538915520357&ns=1&abbucket=4",NA,0
"3",3,"https://item.taobao.com/item.htm?spm=a230r.1.14.339.kdal96&id=538915520357&ns=1&abbucket=4",NA,0
"4",4,"https://item.taobao.com/item.htm?spm=a230r.1.14.339.kdal96&id=538915520357&ns=1&abbucket=4",NA,0
"5",5,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"6",6,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"7",7,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"8",8,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"9",9,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"10",10,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"11",11,"https://item.taobao.com/item.htm?spm=a230r.1.14.315.kdal96&id=45537017412&ns=1&abbucket=4",NA,0
"12",12,"https://item.taobao.com/item.htm?spm=a230r.1.14.291.kdal96&id=547339817254&ns=1&abbucket=4",NA,0
"13",13,"https://item.taobao.com/item.htm?spm=a230r.1.14.283.kdal96&id=538574018110&ns=1&abbucket=4",NA,0
"14",14,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"15",15,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"16",16,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"17",17,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"18",18,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"19",19,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"20",20,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
"21",21,"https://item.taobao.com/item.htm?spm=a230r.1.14.259.kdal96&id=538503794923&ns=1&abbucket=4",NA,0
